event,sport,commence_time,implied_prob_sum,arbitrage,profit,roi,best_outcome,best_bookmaker,best_american_odds,best_decimal_odds
San Jose Sharks vs Chicago Blackhawks,NHL,2026-04-16T00:38:55Z,0.9111,True,14.63,9.76,Chicago Blackhawks,DraftKings,650,7.5
Toronto Blue Jays vs Milwaukee Brewers,MLB,2026-04-15T23:41:00Z,0.9526,True,7.47,4.98,Toronto Blue Jays,FanDuel,2200,23.0
Orlando Magic vs Philadelphia 76ers,NBA,2026-04-15T23:40:47Z,0.9652,True,5.41,3.61,Orlando Magic,FanDuel,870,9.7
UCLA Bruins vs California Golden Bears,NCAAF,2026-09-05T16:00:00Z,0.9662,True,5.24,3.5,UCLA Bruins,Fanatics,140,2.4
Nico Leivars vs Dylan Arbuckle,Boxing,2026-04-17T15:00:00Z,0.9715,True,4.4,2.94,Dylan Arbuckle,BetUS,175,2.75
Toronto Maple Leafs vs Ottawa Senators,NHL,2026-04-15T23:42:00Z,0.9718,True,4.36,2.91,Toronto Maple Leafs,Caesars,4000,41.0
Lani Daniels vs Shadasia Green,Boxing,2026-04-18T03:00:00Z,0.972,True,4.32,2.88,Lani Daniels,LowVig.ag,550,6.5
Lateef Bayo Alabi vs Marcus Sutherland,Boxing,2026-04-17T16:00:00Z,0.9764,True,3.63,2.42,Lateef Bayo Alabi,LowVig.ag,1100,12.0
Scotland vs Namibia,International Twenty20,2026-04-17T12:00:00Z,0.9779,True,3.39,2.26,Namibia,BetOnline.ag,303,4.03
SaiPa vs KooKoo,Liiga,2026-04-17T15:30:00Z,0.9799,True,3.08,2.05,SaiPa,BetRivers,128,2.28
New Zealand vs Iran,FIFA World Cup,2026-06-15T18:00:00Z,0.9876,True,1.88,1.25,New Zealand,FanDuel,480,5.8
Oklahoma Sooners vs Michigan Wolverines,NCAAF,2026-09-12T16:00:00Z,0.9899,True,1.53,1.02,Oklahoma Sooners,Bovada,125,2.25
Rafael Jodar vs Cameron Norrie,ATP Barcelona Open,2026-04-17T09:00:00Z,0.9908,True,1.39,0.93,Cameron Norrie,BetRivers,235,3.35
Doncaster Rovers vs Northampton Town,League 1,2026-04-18T14:00:00Z,0.9912,True,1.33,0.89,Northampton Town,BetMGM,360,4.6
Norway vs Iraq,FIFA World Cup,2026-06-16T22:00:00Z,0.9929,True,1.08,0.72,Iraq,BetOnline.ag,900,10.0
Rico Verhoeven vs Oleksandr Usyk,Boxing,2026-05-23T21:00:00Z,0.9935,True,0.99,0.66,Rico Verhoeven,LowVig.ag,1600,17.0
Sporting Kansas City vs Chicago Fire,MLS,2026-04-26T00:30:00Z,0.9948,True,0.79,0.53,Sporting Kansas City,BetRivers,1000,11.0
IK Brage vs GIF Sundsvall,Superettan - Sweden,2026-04-20T17:05:00Z,0.995,True,0.76,0.5,Draw,FanDuel,250,3.5
Celta Vigo vs Barcelona,La Liga - Spain,2026-04-22T19:30:00Z,0.998,True,0.29,0.2,Celta Vigo,BetRivers,900,10.0
Werder Bremen vs VfB Stuttgart,Bundesliga - Germany,2026-04-26T13:30:00Z,0.9991,True,0.13,0.09,Werder Bremen,Bovada,550,6.5
