event,sport,commence_time,implied_prob_sum,arbitrage,profit,roi,outcome,bookmaker,american_odds,decimal_odds,stake
Carolina Hurricanes vs Ottawa Senators,NHL,2026-04-05T21:08:28Z,0.993,True,0.7,0.7,Carolina Hurricanes,Bovada,-165,1.6061,62.7
Carolina Hurricanes vs Ottawa Senators,NHL,2026-04-05T21:08:28Z,0.993,True,0.7,0.7,Ottawa Senators,BetMGM,170,2.7,37.3
Washington Capitals vs New York Rangers,NHL,2026-04-05T23:10:00Z,1.0189,False,,,New York Rangers,BetMGM,125,2.25,
Washington Capitals vs New York Rangers,NHL,2026-04-05T23:10:00Z,1.0189,False,,,Washington Capitals,FanDuel,-135,1.7407,
St Louis Blues vs Colorado Avalanche,NHL,2026-04-06T01:45:00Z,1.0181,False,,,Colorado Avalanche,LowVig.ag,130,2.3,
St Louis Blues vs Colorado Avalanche,NHL,2026-04-06T01:45:00Z,1.0181,False,,,St Louis Blues,Bovada,-140,1.7143,
Tampa Bay Lightning vs Buffalo Sabres,NHL,2026-04-06T23:00:00Z,0.625,True,60.0,60.0,Buffalo Sabres,BetMGM,220,3.2,50.0
Tampa Bay Lightning vs Buffalo Sabres,NHL,2026-04-06T23:00:00Z,0.625,True,60.0,60.0,Tampa Bay Lightning,BetUS,220,3.2,50.0
Seattle Kraken vs Winnipeg Jets,NHL,2026-04-06T23:30:00Z,1.0058,False,,,Seattle Kraken,BetRivers,-165,1.6061,
Seattle Kraken vs Winnipeg Jets,NHL,2026-04-06T23:30:00Z,1.0058,False,,,Winnipeg Jets,LowVig.ag,161,2.61,
Chicago Blackhawks vs San Jose Sharks,NHL,2026-04-07T02:00:00Z,1.0267,False,,,Chicago Blackhawks,FanDuel,-184,1.5435,
Chicago Blackhawks vs San Jose Sharks,NHL,2026-04-07T02:00:00Z,1.0267,False,,,San Jose Sharks,DraftKings,164,2.64,
Nashville Predators vs Los Angeles Kings,NHL,2026-04-07T02:30:00Z,1.0153,False,,,Los Angeles Kings,BetUS,196,2.96,
Nashville Predators vs Los Angeles Kings,NHL,2026-04-07T02:30:00Z,1.0153,False,,,Nashville Predators,BetMGM,-210,1.4762,
