event,sport,commence_time,implied_prob_sum,arbitrage,profit,roi,outcome,bookmaker,american_odds,decimal_odds,stake
New Orleans Pelicans vs Sacramento Kings,NBA,2026-04-04T02:11:00Z,0.981,True,1.94,1.94,New Orleans Pelicans,MyBookie.ag,-250,1.4,72.82
New Orleans Pelicans vs Sacramento Kings,NBA,2026-04-04T02:11:00Z,0.981,True,1.94,1.94,Sacramento Kings,Bovada,275,3.75,27.18
San Antonio Spurs vs Denver Nuggets,NBA,2026-04-04T19:10:00Z,1.0295,False,,,Denver Nuggets,BetMGM,118,2.18,
San Antonio Spurs vs Denver Nuggets,NBA,2026-04-04T19:10:00Z,1.0295,False,,,San Antonio Spurs,MyBookie.ag,-133,1.7519,
Washington Wizards vs Miami Heat,NBA,2026-04-04T19:10:00Z,1.0267,False,,,Miami Heat,BetRivers,-1667,1.06,
Washington Wizards vs Miami Heat,NBA,2026-04-04T19:10:00Z,1.0267,False,,,Washington Wizards,FanDuel,1100,12.0,
Detroit Pistons vs Philadelphia 76ers,NBA,2026-04-04T23:10:00Z,1.0116,False,,,Detroit Pistons,FanDuel,-110,1.9091,
Detroit Pistons vs Philadelphia 76ers,NBA,2026-04-04T23:10:00Z,1.0116,False,,,Philadelphia 76ers,Bovada,105,2.05,
Toronto Raptors vs Boston Celtics,NBA,2026-04-05T19:40:00Z,1.0395,False,,,Boston Celtics,FanDuel,-375,1.2667,
Toronto Raptors vs Boston Celtics,NBA,2026-04-05T19:40:00Z,1.0395,False,,,Toronto Raptors,FanDuel,300,4.0,
Houston Rockets vs Golden State Warriors,NBA,2026-04-06T02:10:00Z,1.0414,False,,,Golden State Warriors,FanDuel,138,2.38,
Houston Rockets vs Golden State Warriors,NBA,2026-04-06T02:10:00Z,1.0414,False,,,Houston Rockets,FanDuel,-164,1.6098,
