event,sport,commence_time,implied_prob_sum,arbitrage,profit,roi,outcome,bookmaker,american_odds,decimal_odds,stake
Orlando Magic vs Dallas Mavericks,NBA,2026-04-04T00:41:00Z,1.0,False,,,Dallas Mavericks,DraftKings,1400,15.0,
Orlando Magic vs Dallas Mavericks,NBA,2026-04-04T00:41:00Z,1.0,False,,,Orlando Magic,Bovada,-1400,1.0714,
New Orleans Pelicans vs Sacramento Kings,NBA,2026-04-04T02:11:00Z,1.0319,False,,,New Orleans Pelicans,MyBookie.ag,-244,1.4098,
New Orleans Pelicans vs Sacramento Kings,NBA,2026-04-04T02:11:00Z,1.0319,False,,,Sacramento Kings,BetMGM,210,3.1,
San Antonio Spurs vs Denver Nuggets,NBA,2026-04-04T19:10:00Z,1.0239,False,,,Denver Nuggets,BetMGM,118,2.18,
San Antonio Spurs vs Denver Nuggets,NBA,2026-04-04T19:10:00Z,1.0239,False,,,San Antonio Spurs,FanDuel,-130,1.7692,
Washington Wizards vs Miami Heat,NBA,2026-04-04T19:10:00Z,1.0267,False,,,Miami Heat,BetRivers,-1667,1.06,
Washington Wizards vs Miami Heat,NBA,2026-04-04T19:10:00Z,1.0267,False,,,Washington Wizards,FanDuel,1100,12.0,
Detroit Pistons vs Philadelphia 76ers,NBA,2026-04-04T23:10:00Z,1.0,False,,,Detroit Pistons,BetRivers,100,2.0,
Detroit Pistons vs Philadelphia 76ers,NBA,2026-04-04T23:10:00Z,1.0,False,,,Philadelphia 76ers,BetMGM,100,2.0,
